Commit message,Class
dividend trrdiv rename totalrateofreturndiv fix wrong calculation mean number share debugstop move class helper,rename
moved common render stuff render,pull up
added list experimental design idf view,pull up
display view columns table query view display column table ectract query add sql parser model modification move column reference abstracttable table add new class viewelement view add reference columns table,push down
rename requestfactoryparser requestfactory builder perfectly builder fit pattern embed builder factory within type also rename response issuccess response issuccessful also rename requestaction parameteraction use request parameter also move utility method class utils java,move
extract method,extract
polish log move test dedicate class,move
getrequestparametermap move formvalidationservice webutilsservice,move
ongoing refactoring,extract
shruthi move adherence computation treatmentcard adherencesection,move
refactored method celementswebpluginapi imagescriptservice public boolean useimageanimations refactored method celementswebpluginapi celementswebscriptservice public void checkclasses public string getdefaultspace public boolean iscelementsrights string fullname public map getobjstoreoptionsmap string option public com xpn xwiki api object newobjectforformstorage document storagedoc string classname fix celementswebscriptservicetest method move,move
wcet refactor supergraph,push down
small effort reduce amount fiddly saxon dependent code,push down
ngrinder clean thread rampup code,push down
rename stack pop type stack push type avoid confusion stack pop stack pop add corewriter method javacodewriter method provide access underlie javacorecodewriter functionality need repl,rename
use generic interface bulkexecutor rename class variable consistent usage,rename
improve documentation explain decode do refactor individual logic block fetch erattachment evaluate request legitimate method make code digestible well encapsulate,extract
merge pull request change,inline
assign bug simplify generalize discovery api summary bug,inline
update already exist entity base class incorporate late api change refactored mysql db stuff todo move api add canaryplayer todo implement add canaryplayer handle oplayermp fix getplayer canaryentityliving,push down
refactor allow method add service show plot dialog,pull up
oozie refactor class launcher jar oozie sharelib rkanter git svn id f bb ffa edef,move
enable good guice error message miss bind create moe moe migrate revid,extract
make mongosplitter abstract class move splitter implementation subclass,push down
inline storage block size place,inline
add class create conjunction disjunction two query testcase change queryresult interface make use binaryprefixcomparator enable test run though relies patch hbase hbase take liberty commit anyway since one work git svn id svn ssh dev outerthought org outerthought lilyproject project lily trunk b f e bd e dc,push down
refactor sign encryption jwt wip,inline
grab new analyzeskeleton fiji move skeleton relate code org doube skeleton,inline
observer observable pattern ui view interface moveable moveablecontainer refactoring mega commit due problem remote branch,move
rename tarutils getxxx method formatxxx update javadoc throw illegalargumentexception value fit buffer treat long value unsigned use string instead stringbuffer name etc git svn id f bb ffa edef,rename
general java refactoring test improvement,pull up
add general info field,extract
commit code v new feature custom command use parser added entity data e g one use angry wolf power creeper different villager etc added skript reload command reload main config script add expression last spawned entity line whereas latter currently read clear set change trigger file call script end sk locate script folder main config also end sk variable store csv file merge right leftclick one event one use click entity player etc can not use damage event anymore one use attacker victim respectively several change api e g remove loopexpr expression loop block loop loop bottom top left right whatever left right argument also access argument argument e g arg player player argument target block store event result fast execution unexpected result change block player los current target block still access future target block target block etc fix fix checkediterator blocksphereiterator aabb matter skript throw error reload plugin manager reload plugin like craftbukkit fix inventory handle e g hold change inventory anymore improve handle item multiple id e g cauldron block item redstone torch parser exit anymore expression init method print error allow complex pattern fix expression state expression even others inherit others fix furnace slot fix clickint air check cancelled plugins correctly fix click entity cause click event one entity one air fix ambiguity variable expression name fix able heal damage entity heart fix expression conflict itemtype many small fix draft add draft unit test know issue default location many block event entity vice versa know cause fix tidily damage damage event still raw damage e without armour critical enchantment modifidicators apply,pull up
rename project package fullbuild batchbuild git svn id svn ssh dev outerthought org outerthought lilyproject trunk b f e bd e dc,rename
revise simple mapreduce engine move sandbox project core package,inline
fredsa cleanup advice unpack goal bug,extract
work move layer creation activelayermodel new cidslayerfactory allow recursive definition new modelayer,move
simplify bitmixer utility bit correct nasty bug miss mix long cause autoboxing trigger,inline
rename deletemappings removemappings static equivalent consistency,rename
qualifiedname also mark generated astconverter phase like simplename fix rename inner type use main type inner type,rename
vishal abhi move container registration detail field inner object container,move
refactored pull error log class,pull up
clearcase plugin move change log entry creation factory git svn id c de ed b c,move
fix tfj user element sync fix tfj userwithstatus element sync introduce extendeduser deprecate userwithstatus make class name consistent api doc extendeduserinformationelement git svn id b e ab bb b,push down
tokenperpageprecreate create token advance fix npe trim issue protect method property parse tokenperpageprecreate allows use per page token first access rather use session token first access work conjunction jstl tag design mainly well back button support default value false,extract
rename responsetime time,rename
cleanup snapshot api,push down
refactor code fix copyright notice,inline
merge site refactor refactoring branch r git svn id f bb ffa edef,pull up
move renamed keyaction vimshortcutkeyaction,rename
reconfigure enhance async configuration commit add new async utility method execute method return result form java future object rename asyncrunner asyncutils add asyncutils method get asynchronously excecutes supplier functional interface return completablefuture retrieve result move threadpool executor schedule configuration web app config app config remove unique threadpool async event bus replace async threadpool excecutor,move
import tool allow inline field declarationsextend json import format allow declare field type embed record type thus longer require declare field type front fieldtypes section inline field type declaration recognize prescence valuetype attribute record type import happen two pass first inline field type declaration extract checked conflict record type import record type import,extract
added navigation link resource call contain selector update test look navigation link refactored test springmvc resteasy demo use delegate parent package ensure consistency test,pull up
refactored operation improve correctness vbucket aware ops previously operation implement class implement example ascii operation implement vbucketaware interface since ascii operation must go moxi contain vbucket number reason implement interface commit also contain addition singlekeyoperationimpl multikeyoperationimpl subclass operationimpl superclasses binary operation contain one key correspondingly abstraction allows type operation deal vbucket awareness amount key operation contain different way change id ic ec e e fccc fcb cba ca da reviewed review michael wiederhold test michael wiederhold,pull up
qcadoomes change decimal parser validation introduce cell binder registry code rafactor add simple support import error,push down
clean cwbr code,inline
node analyze replace current ast node need case parser know good creates wrong type ast node submit look much big almost every class implement node add replacement node return value analyze touch many class change minimal case return e node replace first far example actually replace node qualifiedide mistake dotexpr since can not distinguish syntactically parse import compiler detect dotexpr indeed qualifiedide transform ast keep symbol include white space make easy analyze expression e g detect non invoke access static member class initialized access member warn lazy always reassign child node result node analyze know currently dotexprs may replace todo may lead surprise case technique use node future git p depot path coremedia jangaroo change,inline
common move inner class stuff class doc code rebuild innerclasses attribute,move
add instant submission feedback write db,extract
significantly restructure shader package make easy understand extend,pull up
fix shadow volume render multiple debug view fix shadow map render allow shadow map shadow volume simultaneously,push down
java change rconsocket getreply accept split response packet add rcon test long response e g cvarlist fix detection decompression bzip compress packet move receivepacket querysocket steamsocket,pull up
membase couchbase refactoring change change occurences affect javadocs log message also add rename vbucketcouchbaseclienttest java miss change id ec dd ac cb bed e ac review review michael wiederhold test raghavan n srinivas,rename
use localdatetime instead localdate transaction update ui element support localdatetime instead localdate adapted test line ending update onvista consorsbank extractor remove warning etc adapt consorsbank parser use date time transaction available issue sign andreas koch squash commits revert change api sign andreas buchen,push down
multiple module add refactoring,inline
implement sticky option pm implement sticky option pm allows option stick pm use across different thread previous implementation use threadlocal option valid thread scope new implementation give control set option make sticky global scope thread scope refactored unit test centralize aws property file,extract
remove compartment activity move executor di tool dctool come new package andrestructure extract base executor class move difference nwversions template instead class,extract
refactor splunkinputformat splunkoutputformat splunkeventsinputformat use new mapreduce api add equivalent integration test splunkinputformattest splunkoutputformattest splunkeventsinputformattest class,move
add test implement time limitation,extract
rename deserialize method,rename
add reportdata reportclient project reportclient client durareport similar storeclient durastore include example client well reportdata project contain java bean serializers use durareport reportclient handle report metric information rename data collection class durareport indicate use data collection oppose new data storage class reportdata note exist storage report primary provider x duracloud admin need clear durareport work properly git svn id ed cd f c b fe bcb,rename
fix transcript start inaccurate line refactored pdf generation ref,extract
move tokeystrokes vimtestcase,pull up
shruthi move tbregistrationnumber treatment proviedtreatment,inline
refactored cov capture command class coveritytoolhandler,pull up
interface segregation write method move iususmodel iususmodelwriteaccess next step restrict visibility write access interface,move
rename method tobinarystream toinputstream,rename
rhbz rhbz squash commit zanata init command client pull commit ab cefde b cc ecd e b df author patrick huang date thu aug rhbz handle exist src dir commit dea e c bd c db e eea author patrick huang date thu aug rhbz check server compatible init command commit fe f e c c f f author patrick huang date tue aug message change commit b bd c fc b b c e author patrick huang date tue aug change message template match prompt commit dd bc c author patrick huang date tue aug fix exception type test commit cc b c e fc b c c ff e author patrick huang date tue jul change copyright year message commit ec adde e dbec aa f c author patrick huang date tue jul improve message commit f bd ab f e de fee cbd author patrick huang date tue jul remove unique project id prompt commit b cbddc dbc e f cbf f author patrick huang date tue jul rhbz handle server url user config commit cec f ff ba bb f e author patrick huang date tue jul refactoring commit c f f fa df author patrick huang date tue jul rhbz rename method static import commit f e f fb de dd bdc f ebc b c author patrick huang date tue jul rhbz refactoring commit e ad fa e b b b author patrick huang date mon jul rhbz extract method userconfighandler commit baa eab dc ebbf db author patrick huang date mon jul rhbz refactor project source trans prompt commit cdf efc baeac c author patrick huang date mon jul add copyright file commit ed ab bca baa da c bf author patrick huang date mon jul rhbz extract method projectconfighandler commit ddda afaee f e ea author patrick huang date mon jul rhbz extract method initcommand commit c dbf b ef ab b c c cc author patrick huang date mon jul remove updatechecker production code pending story rfe commit fa af e ad bd ccbf c b c f b author patrick huang date mon jul rhbz miss resource key log error commit e f f f f f ec author patrick huang date mon jul rhbz rename method optionmismatchchecker commit c ebebd bc deb b ee author patrick huang date mon jul rhbz rename class mode displaymode commit ac cb bff c c b f e c author patrick huang date mon jul rhbz rename class commit bb c bfc f da df bae cb author patrick huang date mon jul rhbz refactor initcommand extract method etc commit f f e e cb f e eb e ef author patrick huang date mon jul rhbz refactor class expect user input commit db f dcb e de b e ade author patrick huang date thu jul rhbz add color output change message commit f c f fc c b ee author patrick huang date wed jul rhbz able filter project long list commit fa fee e b acd aa f author patrick huang date fri jul rhbz check key availability resource bundle commit ffe b de author patrick huang date wed jul rhbz check new version client available commit fe e e cb fc e fa cf b c daf author patrick huang date thu jul rhbz externalize string property file commit e e b ebfebc e b eb author patrick huang date tue jul rhbz add init zanataclient commit c c b c b fa b c add dcc f author patrick huang date tue jul rhbz fix minor issue print next suggestion user commit e f f b f cba f f author patrick huang date tue jul rhbz refactor clean code commit f f c ced b author patrick huang date tue jul rhbz refactor extract project version prompt separate class commit caf c f b e ff bdf ce author patrick huang date tue jul rhbz refactor extract project config handle separate class commit f b f eb ed c f fede edc author patrick huang date mon jun rhbz refactor extract separate class commit f f dc e cca author patrick huang date mon jun rhbz refactor test mock server commit c b ec e fc bdc author patrick huang date fri jun rhbz add init mojo maven goal commit f cc b ef f ba c ded c c author patrick huang date fri jun rhbz prompt user trans dir commit c da c e author patrick huang date fri jun rhbz use index number select project version commit cb b dfc baf e b ae dc author patrick huang date fri jun rhbz src dir include excludes prompt commit f e cb e f ff ac c fd author patrick huang date fri jun rhbz refactor zanataproxyfactory allow eager rest version call commit ec dd f e ddbc f c author patrick huang date thu jun rhbz add include excludes zanata config commit c da cc ec c b author patrick huang date thu jun rhbz pull include excludes project configuration commit b bd b b b ca author patrick huang date thu jun rhbz rhbz add src dir trans dir zanata config commit e ef e b c f ac author patrick huang date thu jun check potential wrong src dir podir project commit e edeb f cff author patrick huang date mon jun rhbz create init command commit c ebac da fd fc f c bbecdc e author patrick huang date wed jun add friendly message inform user server,extract
refactor tvanytimegenerator generate tva element remove serialization component class,move
add jongo class remove query json responsability processor,inline
sc qcadoo prioritization data access refactoring,inline
merge duplicate solver abstract solver class repo move git merging screw rename commits earlier,move
implement insert menu command implement popup menu replace prefs protectroot prefs renamableroots resourcelist added duplicate function back make function set handle removal listener reassignment ref add indexof function make replace delegate set listener implement insertresource implement rest popup menu command added alternate version addresource insertresource use string constant define resource stringtores return group add putnode method handle common functionality like add node expand tree select node prefs replace protectroot renamableroots since allow move delete root node corrupt file resourceframe add abstract method commitchanges remove abstract modifier updateresource implement removed implementation updateresource subclass except additional action take git svn id f f bc e cd,pull up
intercept part input change event case close editor automatically enable ex eclipse substitute underlie editor already open part handle case reset reference associate part,inline
rename link method thing consistent,rename
vandana sharvani change pack logic move changepackprocessor,move
make extractor interrogate charset replaycharsequence genericreplaycharsequenceuse charset instance rather string name recorderuse charset instance ratehr string name getcontentreplaycharsequence avoid reuse cached replaycharsequence encode use change since create getcontentreplayprefixstring allow request specific charset interpretation extractorhtml extractorxmlwork charset instancesdouble check content declaration self consistent usingrecycle matcher instanceschange minor charset problem decision crawl log annotation,extract
near end another major refactor,pull up
cleanup move method back transcoderservice really belong service add miss javadoc,move
add additional javadoc usage add method return default value zero parse fails bump version,extract
scj cleanup rtsj class,push down
trigger reconciliation consistently rename test testreconciliation,rename
module move jaxp redirection jdkspecific,move
update base code review add comment look class loader object rename internal method name reflect new behavior sign paulo lope,rename
clean area system,push down
refactored code support separate manager sauce connect,push down
add new command skript reload config script skript enable disable add enchantment support add condition enchant entity delete added effect push push entity around added expression name display name latter change added expression message hold message chat event change added loop loop time loop number add booleans available command argument recognize well readded physic event improve detect empty configuration section improve drop experience effect accept expression experience well fix delay work conditionals loop fixed damage kill effect damage entity set health fix health expression return negative value entity dead fix inventory work fixed error parse large number fix teleport event allow different timestates world expression fix null event message fix expression fuel slot conflict default alias fuel fix furnace slot fix possible issue,push down
test add unit test dswdatasourceserviceimpl,extract
refactored infinispan cache wrapper hieararchy wrapper keep linear hierarchy accord infinispan version one wrapper per plugin feature implement separate object wrapper feature enrich separately code core wrapper move lifecycle basicoperations feature wrapper hold cache orchestrate feature infinispanwrapper work multi cache wrapper well see stresstest usebuckets,move
frame parameter test set change buffer refactored bit remove notimplementedexception,move
oozie remove duplicated code fsactionexecutor rkanter via tucu git svn id f bb ffa edef,inline
add isportalinterior hide interior material,extract
rename module team,rename
add license javadoc matrix factorization include wrapper around matlab octave implementation abstract common svd functionality base class unit test nmf svd reduction method make helper function public,pull up
refactor symbol table pmd symboltable pmd lang java symboltable symbol table currently java remove bogus jsp symbol table git svn id baf c fc e,push down
canvas mouse canvas position move base icycanvas class mouse image position move icycanvas class icytextfield remove consumecharkeypressevent property icyframe add getinputmap getactionmap method roi general performance improvement draw mouse event remove useless mouse position information fix shift combination shortcuts accidently enable text field well headless support fix wrong null sequence report limit maximum memory mb bit jvm reduce can not create native thread error minor others fix,move
wip law builder refactor,push down
facebookclient move add app token possible appsecret proof method add optional computation hash pom xml add explicit dependency common codec hex encode hash byte array,extract
implement shift lock clean last commits remove commented updateinstance code refer r r need extracted different mouse part method remove extra repaint call mouseedit remove wip text object tab downgrade cursorinstance instancecomponent cursoric swap id object roomframe status bar opposite gm logical way remove edit mode editinstancesobject editinstancesdeleteunderlying hard keep date use swing directly add fixme tag object tab probably take git svn id f f bc e cd,extract
added unit test bfsdistancelimited gridindex additionally move stub locatable stubs package add stub locatable small code documentation change bfs spatialindex code external impact,pull up
rework extension mechanism rename move specs move configuraiton spock maven plugin master pom,rename
jvstm lf create remotewriteset deal remote commits several fix todo reload body,push down
hv rename getpayload getconstraintvalidatorpayload,rename
improve debug ast move self type self method ast node cleanup,move
code review websocket feature change note remove obviously unused faulty code rename clarified connection name recover async event handle review note change introduces componentupdate isprocessed feature still clue relate websocket feature general also change introduce case handle component without peer sure case relevant component require peer applicationinstance handle concurrent disposal case possible component introduces lastrenderid mysterious use case,rename
simplify extraction proposal include isbasedoninput property proposal set input priority level,extract
remove unused method reduce duplicated code add loadaaacproblem string method handle load problem rather method identical save one character git svn id bcaee e b e c f fc,extract
factor netty configuration specific config builder change mainly add control number bos worker thread netty channel factory use netty client server thread pool also rename nettyconfigbuilder nettyserverconfigbuilder contrast nettyclientconfigbuilder turn config builder actual builder use directly,inline
first cut cache perf work candidate svc integrate outputstreamer idea show source file source file stream include length well content type move package relate code serviceutilities new assessmentpackagefileservice cp import modify handle qti v safe file well,move
sc esilco add damage product report,extract
fix class name change celements search,inline
fix typed property relationships added test,extract
create unit test leavetest replace base conversion via javax xml bind base method move gmsimpl leave gmsserverimpl leave promise gm add setxmitinterval unicast fix ccme fd sock change suspect mbrs concurrent set add single test target build xml remove bind addr viewdemo draw remove set system property external port bind addr test change log format message exchange nakack change log format message exchange unicast,pull up
fix name issue switchyard,push down
add support remove conf redirectrdfrequeststoendpoint long clear one onf multiple data source would target move conf webresourceprefix dataset level server level need relationship entity uri page url data url etc datasets work towards separate concern mappedresource source web uri mapping structure relate uris web side fix minor issue namespace declaration,move
rename restoremetaclass revertmetaclass,rename
minor refactoring strip api tokenstreamfactory,push down
update documenthelper remove redundant streamlone method,inline
remove redundant worker setorderedpriorityqueues list minor documentation cleanup,inline
add retrieve signature params resource,extract
add ability load default xml config file override,extract
remove jetty xml add host solandra property,inline
move mark profile picture set logic profile picture service,inline
rename addtag appendtag,rename
dev dheeru rename resource activate provider theme resource non reusable reset password,rename
make io compatible lambda move method iofunctions,move
add snapshotacceptancetest mostly test move snapshottasktest test end uncover bug fix,move
remove inheritance simplereducer simplecombiner simplify code,inline
border radius implementation heres full border radius support know issue patch prior release follow set px value shorthand border radius compute correctly declaration around cssname border radius clean organized logical return consistant type borderradiuscorner class borderradius side automatically fix total radius one side excedes width height need complete css parse issue resolve observe set border radius normailzed side can not note test use itext additional test do swing itext,inline
enhancement query bind value store internally send server previously allocate new string object entire final query send database big query especially large bind value end essentially two copy memory change reuse exist object therefore take memory today give query restructuring also allow future ability stream bytea data server instead current approach pull memory also fix test fail database also rename internal variable minor cleanup modify file jdbc org postgresql core queryexecutor java jdbc org postgresql jdbc abstractjdbc connection java jdbc org postgresql jdbc abstractjdbc statement java jdbc org postgresql jdbc abstractjdbc resultset java jdbc org postgresql jdbc abstractjdbc statement java jdbc org postgresql test jdbc databasemetadatatest java,inline
refactor downsampler avoid mutabledatapoint class reduce methodcalls sign chris larsen,inline
expand beanshellprocessor beanshelldeciderule every jvm friendly scripting language javascript jython groovy jruby beanshellprocessor java scriptedprocessor java beanshelldeciderule java scripteddeciderule java update use present jsr script engine request free text name update allow script come inline string file seed module pom xml include groovy jsr capable jar classpath add new jar classpath beanshellprocessortest java scriptedprocessortest java rename empty test class,rename
remove obsolete method,inline
refactoring enable test,extract
remove enum move different way may need evolve seem ok,move
move custom utf decoder subclass encode add support utf decoder unicode code point u ffff represent surrogate pair java value generate backend reverse path already handle jvm utf encoder add number unicode encode decode test make sure work,push down
remove unused timeout variant sdktestcase splunkrestart,inline
sonar clean,pull up
revert backlog change utilhtmlsanitizer function params move name sanitization connectionservice connectionserviceimpl,inline
exojcr move dbinitalizer dbcleaner common code separate class,move
simplify imatrix hierarchy,inline
bval rename constraint related class make readable check spec apply ri well git svn id b cb b ca fae ebed b,rename
refactoring move field reflabels mapobject polyline field use polyline waste memory class point also need public getter git svn id f ee dfeeeb,push down
feature store via feature id vocabulary somewhat cleaned feature name label system,push down
ssl code refactored git svn id f bb ffa edef,inline
add write lock remove read lock iterator method add first test concurrency,pull up
tynstep resolve fix chapter lookup require bit refactoring,inline
move v associate method base class,pull up
something broken need take break hg branch idea rename src kahluainterpreterwindowfactory java src kahlua kahluainterpreterwindowfactory java rename src kahluainterpreter java src kahlua kahluainterpreter java rename src lang inferenceable java src lang inferencecapable java rename src run kahluacommandlinestate java src run kahlua kahluacommandlinestate java rename src run kahluaexecutionresult java src run kahlua kahluaexecutionresult java rename src run kahluaprocesshandler java src run kahlua kahluaprocesshandler java rename src sdk kahluasdk java src sdk luajsdk java,rename
minor rename,rename
contentextractortestbase javacreaterecorder string string new method create test recorder specify charsetcreaterecorder string deprecate use default charset,extract
application entirely rework sequence image operation band new sequence resize feature new c z operation new color conversion feature general improvement well plugin error report well colormap preservation switch canvas well icy imagej roi conversion minor improvement modify roi dpoint intersects point contain consistent roi fix minor bug roi getbooleanmask method fix minor bug roi contain roi intersects method others bug fix developer loader add method hide progress bar add getmetadata file file method retrieve metadata image file add loadimage file file int z int method load single image multi image file add icybufferedimage copydata src int srcchannel int dstchannel copy data specify channel add exceltable component display excel type table add abstract method getviewcomponent icycanvas always retrieve display component canvas improvement sequencepreviewpanel sequencerangepreviewpanel component add icybufferedimageutil class general icybufferedimage tool add method sequenceutil class fix cursor preservation canvas add maininterface getsequences string name retrieve sequence name fix bug imagedataiterator add command line option remove splash screen lot refactoring source reorganisation check deprecation,extract
add proxy pac support,extract
backlog change utilhtmlsanitizer function params move name sanitization connectionservice connectionserviceimpl,move
rename method make sitestagemojo sitestagedeploymojo similar possible git svn id f bb ffa edef,rename
changelog update fileaide added assist common file task demopsmerge diff csvtordf smush sparqltranslator xsltranslator csvtojdbc databaseclone initlog xpathtool arglist jenaconnect recordhandler textfilerecordhandler recordhandlertest remove vfs use fileaide nlmjournalfetch pubmed webhelper webaide normdamlevdist normtypodiff mathhelper mathaide match pubmedscore score glozetranslator runbibutils sparqltranslator sanitizemodsxml xsltranslator merge long require config file match glozetranslator sparqltranslator runbibutils xsltranslator merge constructor cleanup score lower info message temp model debug transfer lower warn message output debug check valid output change add remove nothing check glozetranslator sparqltranslator update modern input output override databaseclone use stream rather fileobjects jenaconnect recordhandler jenaconnecttest remove file fileobject constructor use string path constructor textfilerecordhandler use stream close rather fileobject closing,inline
refactored improved loading inventory item schemata see koraktor steam condenser,move
finalize add attribute filter control session attribute serialize memcached main implementation provide rainer jung commit add test filter map also concurrenthashmap attribute standardsession slight format change add warn sessionattributesfilter specify non sticky session,inline
declaration type move,pull up
push reference urls result network access jconfig factory method intercept replace urls allow test,push down
update version snapshot commit dde b f f aa author toshiki takeuchi date fri mar add cmykcolor class add enum class texture commit afbef c fc da aa af author toshiki takeuchi date fri mar integrate mousewheelevent mouseevent commit aab f fab b f f ec author toshiki takeuchi date thu mar fix bug sql modify arraylist graphicsobject copyonwritearraylist commit c cbf c e fb author toshiki takeuchi date tue mar update pom xml use late openni nite commit ace f df dc c cc author toshiki takeuchi date tue mar modify trackball commit ab ddfdd e de e fe cbc f f author toshiki takeuchi date fri mar add mouse class commit bf af b beadd f author toshiki takeuchi date thu mar fix reshape bug commit afe e e e b de db f e author toshiki takeuchi date sit mar add reset method trackball class refactoring applet cursormode class commit bfbab ddc c ffa cfaf dda e author toshiki takeuchi date sit mar add trackball class commit e c fadf df dcadd f db c author toshiki takeuchi date fri mar fix box class commit fe dbb ef c ef b da c edaa merge ed df author yuki ban date wed mar merge branch dev github com casmi casmi dev commit f fb e ce c e cff cef author yuki ban date wed mar modify timeline class commit ed df f ec ced de ca cb cf author toshiki takeuchi date tue mar remove warning cpopup commit c afd f ce feed ac b b author toshiki takeuchi date fri mar add license javadoc comment commit fec adf eac b fba c b author yuki ban date fri mar modify selection buffer commit cf da cd f dc f f f abdc e author xcoodev date sit feb add synchronize block render commit b aa ca f aad merge df ba author xcoodev date sit feb merge branch dev github xcoo casmi casmi dev commit df bced e b c de c author xcoodev date sit feb add function show alert dialog box commit ba ab e b ed ce cb b e eb author toshiki takeuchi date sit feb refactoring class commit e c efc e b abb ebb ef e b author xcoodev date sit feb fix bug polygon class commit c f f c fd b c author toshiki takeuchi date sit feb add graycolor class commit f fda cffb bce bbd dd author xcoodev date sit feb fix bug line class commit f c ab e fd c author yuki ban date wed feb add mouse wheel event commit e b bc f ff f c f defef author shigeodayo date fri feb add cpopupmenu add cpopupmenu easy create popup menu commit ce bf f dc da cfd e author toshiki takeuchi date fri feb fix bug primary key short long type commit c fe f aa ff af f c author toshiki takeuchi date tue feb divide color class three class color interface rgbcolor class hsbcolor class remove colormode refactoring many source commit f e cd e e ca c author xcoodev date thu feb fix version reference readme commit de bf f c e ca caf author toshiki takeuchi date sit feb update version snapshot commit b ef cc aec e c author toshiki takeuchi date sit feb rename roundrect java roundrect java add maven compiler plugin version pom xml commit b e ae e de author yuki ban date sit feb add repeat function tweengroup commit c df bbf c c ce fffe b f e author toshiki takeuchi date sit feb add repository icon,rename
new branch refactoring interface support jlems,pull up
hv move share code cascadableconstraintmappingcontextimplbase,move
sc view definition refactoring,push down
face develop alloy panelgroup component extend generate base class consistency,pull up
hv push logic append path node specific sub type constraintlocation,push down
refactor botrunnable seperation pircbot code,inline
refactoring fix,push down
clean,pull up
method extraction body forcaching execute least fits one screen git svn id f bb ffa edef,extract
nick interim commit thundr v abstract request introduce aop annotation base processing instance create injection context general clean refactor,push down
nexus move param creation proper place rc goal lose many like poll relate stuff,move
fix issue testname junit rule respect unroll method names added property reportiterations iterationnameprovider featureinfo iterationinfo name description move unroll logic extension change methodrule testrule integration respect iteration name,inline
refactored two text string relate utility class one,move
fix,push down
rename nabla div,rename
improve readability rename gettype getgtype functional change git svn id f ee dfeeeb,rename
refactoring tabrisui api,pull up
clean clip code etc reduce copypasta code plotcontent code,pull up
refactor rename method,rename
remove getcfmlengineimpl method configweb,push down
extract class naming generator,extract
move handle function equality functionnode simplify function write,pull up
warn elimination hazard model generation remove aml,inline
late wi implementation update gagnavarslan support character file folder name include url encoded character move digest auth directory wi relate configuration nuxeo platform wi backend module bug fix etc,pull up
extract method,extract
refactor jwtprofile oidcprofile,push down
refactor calculate subject useful add subjectdatareference handle logic reference change immutable subject data object update code use transient persistent data reference also expose calculated subject calculate subject also provide debug output high level query make implementation customize permission lookup way look spigot still need lookup unfortunately way get subject name rather identifier player show uuid debug output,move
make default warc size comply spec adjust default pool size few odd size w arc archivefileconstants javaremove superfluous constant writerpool javadefault max active writerpoolmember javaupdate constant use remove deprecate unused method writerpoolprocessor javapull storepaths subclass set default via subclass methodset defaultmaxsize via subclass method warcwriterprocessor java arcwriterprocessor java getdefaultmaxfilesize getdefaultstorepaths appropriate,pull up
make querycount log logic injectable add interface default implementation log refactored remove duplicate code close,move
rename map method mapfrom mapto sign luke hutchison,rename
refactored userinfo serializer,push down
rename wordcram draw drawall well reflect draws word might wait,rename
yv nitro main change yv nitro main change,inline
implement filter like chain responsibility pattern dispatcher requestcallback lot refactoring move well version class project restygwt,move
feat implement coreinputlwjgl chore minor coreinput spi refactoring add coreinputlwjgl corekeyeventlwjgl coremouseeventlwjgl lwjglmouseeventdriver class implement lwjgl input backend remove several unnecessary method coreinputevent corekeyevent coremouseevent interface move enable disable default dispatcher method absractcoreinput add log coreinputjogl run auto format several incorrectly format source file,move
convert purify plugin pluginfilter get close fiji design guideline,inline
refactored xmlnode hierarchy well ns support,pull up
halfway refactoring command permission,move
move seteditingcontext setobject lock erd wpage,pull up
fix introduced testmoderator test driver internal api,inline
add miss javadoc move getprocessor method back super class add constructor initialize ioprocessor member minor refactoring git svn id f bb ffa edef,pull up
artif jpa rdbms repository hibernate search full text refactored abstracted common repo logic rearchitected repo unit test installation integration eap wildfly,pull up
arq refactored data set handle introduce generic resource clean provider,pull up
move sharedloglogic specific getcheckedoperations superclass move operation resolve abstractloglogic,move
added unit test,extract
extract method,extract
isqreader rename long method name,rename
refactor placeservice reduce method number,inline
refactored test hierarchy simplify add test new bug pattern,pull up
pull exclude property nodeinfo,pull up
refactoring statusprinter,extract
apply patch nutch remove static nutchconf submit marko bauhardt stefan groschupf jerome charron git svn id f bb ffa edef,inline
bug fix utility improvement array preparation trove base overhaul new file src edu ucla sspace cluster candidatecluster java rip common code streemer faststreamingkmeans class modify src edu ucla sspace cluster faststreamingkmeans java fix bug add comment javadoc us candidatecluster instead facility modify src edu ucla sspace cluster streemer java use external candidatecluster class class still well test modify src edu ucla sspace cluster seed generalizedorssseed java add minor modification handle double accumuluation modify src edu ucla sspace graph linkclustering java comment debug code modify src edu ucla sspace matrix abstractmatrix java make class easily implement read variant modify src edu ucla sspace text termassociationfinder java add much need javadoc class still mess modify src edu ucla sspace util sparsedoublearray java modify src edu ucla sspace util sparseintarray java modify src edu ucla sspace util sparselongarray java modify src edu ucla sspace util sparsenumericarray java add new method support place multiplication division element modify src edu ucla sspace util primitive abstractintset java remove newline modify src edu ucla sspace vector abstractdoublevector java extend abstractvector make class well support read vector want implement get add magnitude implementation update equal call abstractvector code non doublevectors new file src edu ucla sspace vector abstractintegervector java add parallel base class integervectors new file src edu ucla sspace vector abstractvector java add implementation basic vector operation equal hashcode mangitude tostring modify src edu ucla sspace vector compactsparseintegervector java modify src edu ucla sspace vector denseintvector java remove code already base class modify src edu ucla sspace vector sparsehashvector java extend abstractvector remove code already base class modify src edu ucla sspace vector vector java clarify contract equal hashcode,pull up
restructure project jsr implementation main focus,inline
